cell_type	broad_cell_type	color	stage	assay
gland_16	gland	#F57B00	adult	scRNA
gland_17	gland	#F67E00	adult	scRNA
gland_18	gland	#F78200	adult	scRNA
gland_19	gland	#F78500	adult	scRNA
gland_20	gland	#F88900	adult	scRNA
gland_21	gland	#F98C00	adult	scRNA
gland_22	gland	#FA9000	adult	scRNA
gland_23	gland	#FB9300	adult	scRNA
gland_24	gland	#FC9700	adult	scRNA
gland_26	gland	#FE9E00	adult	scRNA
gland_27	gland	#FFA200	adult	scRNA
cnidocyte	cnidocyte	#ff42ff	gastrula	scRNA
mesendoderm.embryonic	mesendoderm	#bdf5bd	gastrula	scRNA
ectoderm.epidermis	ectoderm	#9df1f1	gastrula	scRNA
ectoderm.pharyngeal	ectoderm	#50ccf1	gastrula	scRNA
ectoderm.embryonic.oral	ectoderm_embryonic_oral	#5bc0e8	gastrula	scRNA
ectoderm.embryonic	ectoderm	#51a0be	gastrula	scRNA
ectoderm.embryonic.aboral	ectoderm_embryonic_aboral	#045170	gastrula	scRNA
NPC	NPC	#808d91	gastrula	scRNA
neuronal	neuronal	#063cb9	gastrula	scRNA
gland.mucous	gland	#e09010	gastrula	scRNA
