gene	degree_all	degree_in	degree_out	clustering_coefficient	degree_centrality_all	degree_centrality_in	degree_centrality_out	betweenness_centrality	closeness_centrality	eigenvector_centrality	page_rank	assortative_coefficient	average_path_length	community_random_walk	module	connectivity	participation	role	cell_type
Nvec_vc1.1_XM_001627634.3	2	2	0	1	0.00167644593461861	0.00167644593461861	0	0		0.0851122230694127	0.000833933965595394	-0.254662342054629	0.52124246395806	11	8	-0.0652328073053438	0.5	Peripheral	cnidocyte
Nvec_vc1.1_XM_032365772.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0459449051672657	0.000830973207804183	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_048730041.1	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0459449051672657	0.000830973207804183	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032365844.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0344586788754493	0.000830491669908287	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032365869.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0344586788754493	0.000830491669908287	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032365728.2	4	4	0	0.833333333333333	0.00335289186923722	0.00335289186923722	0	0		0.0449097677953466	0.000839825642010822	-0.254662342054629	0.52124246395806	1	3	-0.0758372880967521	0.625	Connector	cnidocyte
Nvec_vc1.1_XM_001640556.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0196906736431139	0.000829872549756421	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001640568.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0229724525836328	0.000830010132012391	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_032382504.2	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0344586788754492	0.000830491669908287	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
Nvec_vc1.1_XM_001625050.3	1	1	0	0	0.000838222967309304	0.000838222967309304	0	0		0.0196906736431139	0.000829872549756421	-0.254662342054629	0.52124246395806	11	7	-0.05735393346764	0	Ultra peripheral	cnidocyte
