development_cell_type	cell_type	gene	development_stage	lvl
NPC	NPC_1	Nvec_vc1.1_XM_001634111.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001639705.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032381869.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032382712.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048720569.1	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_048731147.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032383713.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032383512.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048732864.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048725593.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032385169.2	D|8d p.polyp	7
NPC	NPC_1	Nvec_vc1.1_XM_048719424.1	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_001637733.3	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_032373497.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032386947.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032373617.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001626384.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001634116.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032384063.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048724160.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048729815.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032384221.2	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_032386296.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048720219.1	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_001633484.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001628318.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032376421.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032365767.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032380131.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001639002.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001632947.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001628737.3	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_048722809.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032387283.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048726872.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032382158.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048723945.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032381425.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385905.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032376267.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_048732404.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032370541.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001626717.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001637529.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001638841.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001629605.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001637508.3	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_048721411.1	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_032373943.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032373619.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032372883.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032366085.2	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_048732912.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032380975.2	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_032364784.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032371996.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_048731196.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032387218.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032366098.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001633901.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048722777.1	D|8d p.polyp	7
NPC	NPC_1	Nvec_vc1.1_XM_032362713.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048729744.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048722594.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_048723109.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001637190.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001633995.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001633273.3	D|8d p.polyp	7
NPC	NPC_1	Nvec_vc1.1_XM_048729090.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001632568.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032381586.2	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_001634326.3	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_032365096.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001622708.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032363859.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001629480.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001639307.3	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_032370623.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_048720726.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001640809.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032377135.2	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_001624716.3	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032364281.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032378839.2	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_032382185.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001627662.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385499.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001625437.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032379394.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001623467.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032384447.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001634712.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032375228.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385496.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032384134.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001627049.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001629020.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032363350.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032378402.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032384228.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032364704.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032375407.2	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_001635374.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048720635.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048728853.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032376608.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001634519.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032366602.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001636315.3	D|24h gastrula	2
NPC	NPC_1	Nvec_NVE23841	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048723770.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032374310.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001647488.3	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_048726662.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_048729481.1	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_001635275.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032373618.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032374789.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385706.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_048722721.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032366482.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001625109.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032374041.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048723364.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048733498.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001628705.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032379775.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032367023.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001637208.3	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_001625700.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001635276.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001633772.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001634132.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001628964.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032383693.2	D|4d.c planula	5
NPC	NPC_1	Nvec_v1g19278	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001638266.3	D|8d p.polyp	7
NPC	NPC_1	Nvec_vc1.1_XM_001628319.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032382493.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001633902.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032362135.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032375280.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032382719.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032365977.2	D|8d p.polyp	7
NPC	NPC_1	Nvec_vc1.1_XM_001640726.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032382520.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032362346.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032364605.2	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_032383925.2	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_001635041.3	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_001630131.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032366797.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032383905.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032371461.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032375915.2	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_032375602.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032383663.2	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_048728211.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032373099.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032366733.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001634460.3	D|8d p.polyp	7
NPC	NPC_1	Nvec_vc1.1_XM_032387255.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001625898.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032380190.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048733302.1	D|8d p.polyp	7
NPC	NPC_1	Nvec_vc1.1_XM_032367288.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001634986.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001633508.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001631375.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032386464.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032387167.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032378648.2	D|8d p.polyp	7
NPC	NPC_1	Nvec_vc1.1_XM_032373640.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_048731137.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001631673.3	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_001629572.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032374352.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032385715.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032376206.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_001641660.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001647471.3	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_001635315.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001633156.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001641552.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032375349.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_048724711.1	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_001625997.3	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_032382395.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385089.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048728028.1	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_001639101.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032384420.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001636889.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001628635.3	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_032375505.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048720727.1	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_032363418.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032381587.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001635015.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001626351.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032380001.2	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_001624941.3	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_048730757.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001633894.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_048719714.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032363951.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032366210.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_048720954.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032383695.2	D|16d p.polyp	8
NPC	NPC_1	Nvec_vc1.1_XM_001636163.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048725461.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048732532.1	D|3d planula	4
NPC	NPC_1	Nvec_vc1.1_XM_048726174.1	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001634956.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032383641.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032371032.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032380141.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032365192.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032375670.2	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_032374977.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001631326.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032370984.2	D|5d p.polyp	6
NPC	NPC_1	Nvec_vc1.1_XM_032379348.2	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032362379.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032364561.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001632367.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_001627544.3	D|4d.c planula	5
NPC	NPC_1	Nvec_vc1.1_XM_032380039.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001636464.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048723584.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001628892.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001627423.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048722812.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032363271.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048724605.1	D|18h gastrula	1
NPC	NPC_1	Nvec_v1g89657	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032372114.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001627907.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032378323.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032378338.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032379504.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001623131.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032381044.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048728399.1	D|18h gastrula	1
NPC	NPC_1	Nvec_NVE7697	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032386243.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385963.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048725325.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032372025.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032364001.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032363059.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032378021.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001638761.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032367750.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048724387.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001627792.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001639701.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385577.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032373089.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001629694.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032384912.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032387164.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385647.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001628945.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032379465.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032378048.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032378881.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032375459.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032373496.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001639692.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032372575.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385185.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032363985.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001636862.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032364773.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032362307.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032372078.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032363992.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032377358.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032374008.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032366225.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048730283.1	D|18h gastrula	1
NPC	NPC_1	Nvec_v1g99666	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001622271.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001634198.3	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032383677.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_032385184.2	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_048722428.1	D|18h gastrula	1
NPC	NPC_1	Nvec_vc1.1_XM_001628279.3	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032383681.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_001636622.3	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032366211.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032384889.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_001634505.3	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032375378.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032372264.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032377897.2	D|24h gastrula	2
NPC	NPC_1	Nvec_v1g210540	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_001634160.3	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032364225.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032366609.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_001628087.3	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_001623084.3	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_001633819.3	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032384474.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032372717.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032369367.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032381908.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032380334.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_032379688.2	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_001631763.3	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_001641129.3	D|24h gastrula	2
NPC	NPC_1	Nvec_vc1.1_XM_048730169.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032364359.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032362945.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032366646.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001635120.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001623127.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001640781.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001630363.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032367127.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001631403.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032381049.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001635277.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001630333.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032379400.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001635172.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032381059.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032362387.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001625588.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032385572.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001638641.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032379457.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032362396.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032363168.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032364373.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032380735.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001632824.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048726750.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_001625998.3	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032384789.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048727456.1	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032370011.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_032362607.2	D|2d planula	3
NPC	NPC_1	Nvec_vc1.1_XM_048724012.1	D|2d planula	3
